,sigmoid,tanh,relu,softmax
sigmoid,0.25,0.6,0.4,0.4
tanh,1.0,1.0,1.0,1.0
relu,0.75,0.5833333333333334,0.75,0.75
softmax,0.25,0.4,0.4,0.25
