,sigmoid,tanh,relu,softmax
sigmoid,0.2222222222222222,0.5,0.2,0.27999999999999997
tanh,1.0,1.0,1.0,1.0
relu,0.8333333333333334,0.5833333333333334,0.8333333333333334,0.8333333333333334
softmax,0.2222222222222222,0.27999999999999997,0.27999999999999997,0.2222222222222222
