,5,10,25,50
25,1463.8585391044617,2923.0113418102264,7294.257171392441,14680.073051214218
32,2.3200549680671e-310,2.3201485101403e-310,2.32005497549784e-310,2.32005498835145e-310
36,2.3200549883546e-310,2.3200550496061e-310,2.320054975501e-310,2.3200549687311e-310
40,2.3200549687248e-310,2.32005496868685e-310,2.32014766902715e-310,2.3201460803144e-310
44,2.32014439332923e-310,2.32014766870305e-310,2.32014766871095e-310,2.3201485103253e-310
50,2.320147548921e-310,2.32006138948493e-310,2.3201485113925e-310,2.32014851141145e-310
