,cross-entropy,hinge-embedding,bce-logit,soft-margin
1,2608.8225848674774,2699.586258649826,2686.8319141864777,2719.1295535564423
6,299.56156969070435,301.13402795791626,301.1035237312317,284.4549357891083
8,273.8758225440979,271.143700838089,272.1798532009125,278.90770506858826
10,291.7442002296448,293.00028562545776,294.2690975666046,293.8479015827179
12,284.8018641471863,282.59160566329956,281.34296107292175,281.566903591156
14,285.28081941604614,283.35661697387695,283.645339012146,281.9734408855438
16,282.5954957008362,281.8536288738251,283.4565556049347,272.7900664806366
18,258.6649100780487,262.563515663147,281.1828634738922,280.39488339424133
20,279.38473105430603,278.6484100818634,280.2189350128174,279.11560010910034
22,284.86038970947266,286.937203168869,286.18642377853394,285.9116826057434
40,1252.967740058899,1206.278242111206,1231.2119710445404,1246.4712660312653
82,1840.978051185608,1781.2794466018677,1774.2830612659454,1877.8420112133026
0,155.87637329101562,162.3291358947754,166.90169405937195,162.76705312728882
3,290.1430139541626,291.45690536499023,293.771231174469,290.6446762084961
4,298.01153206825256,290.9808669090271,289.0593914985657,283.78940176963806
5,244.8156042098999,245.11701798439026,249.17072057724,250.0753767490387
7,251.0607304573059,250.0262291431427,251.54224681854248,249.47264289855957
9,250.48235487937927,251.91161584854126,252.81895446777344,251.43734049797058
11,243.2987380027771,240.28553581237793,242.04429936408997,240.25607919692993
13,237.87192916870117,239.1244833469391,240.53575921058655,241.88192296028137
15,239.2255256175995,243.29836106300354,243.8128662109375,242.84138083457947
17,236.23127603530884,236.75221347808838,237.98148250579834,236.45618176460266
19,237.0467541217804,237.07060527801514,238.3577036857605,236.84530687332153
21,237.05896162986755,236.76227164268494,238.53081703186035,236.70042896270752
23,211.31387639045715,210.44921278953552,211.95283770561218,210.14961123466492
24,211.30221104621887,210.1876575946808,211.62558102607727,209.9309000968933
25,209.87676191329956,210.51835131645203,211.88730454444885,210.10630989074707
26,192.55574560165405,193.347398519516,190.05505180358887,189.27299332618713
27,192.13088035583496,192.2165117263794,193.51317262649536,191.99056720733643
28,194.6379599571228,194.0707950592041,195.70417261123657,193.795015335083
29,272.5827531814575,272.7821307182312,274.27525520324707,272.63933205604553
75,340.1300370693207,334.8968436717987,337.27486300468445,342.28432965278625
200,228.93451189994812,228.29491806030273,223.50923132896423,220.80254101753235
