,0.9,0.7,0.5,0.3,0.1,0.0
0.1,2268.9988844394684,2268.0755486488342,2268.127299785614,2274.5552277565002,2266.098799943924,2263.9316425323486
0.05,2261.3207354545593,2263.4208352565765,2269.102988243103,2266.6651327610016,2269.0847566127777,2268.004217863083
0.01,2266.499121904373,2284.1808173656464,2264.285817861557,2287.4527912139893,2254.9198966026306,2274.623639345169
0.005,2275.4116678237915,2281.8579597473145,2261.754589319229,2270.554003715515,2293.807592153549,2277.8021445274353
0.001,2271.3416635990143,2277.649903535843,2266.786120891571,2282.639493227005,2275.429322242737,2274.134863138199
