,cross-entropy,hinge-embedding,bce-logit,soft-margin
1,0.5005181347150259,0.5,0.5113130980456735,0.5035446060470614
6,0.5382261090494198,0.5,0.5007651455893856,0.508701840231014
8,0.5067369275375956,0.5,0.5031340974987208,0.506925714420142
10,0.5079708056671352,0.5,0.5026159627836949,0.5113913181558873
12,0.5254921103550487,0.5,0.5020254891697494,0.5029276669822916
14,0.508587744731905,0.5,0.5073538666023655,0.506826910070398
16,0.522308610681456,0.5,0.4986684937629754,0.5047049690354226
18,0.5522192750818958,0.5,0.5039968711955914,0.5060123623061406
20,0.5226785388718661,0.5,0.502097828068669,0.5104791422841448
22,0.4867802132527215,0.5,0.5049355125181583,0.5062593731805003
40,0.6053001476184035,0.5,0.5,0.48348673492792577
82,0.49470044050272594,0.5,0.5010362694300519,0.506826910070398
0,0.5005181347150259,0.5,0.4839713467385742,0.5008804173307535
3,0.5010362694300519,0.5,0.4820481906453453,0.5030264713320356
4,0.5307999035481348,0.5,0.5058247516658531,0.510380337934401
5,0.4999505978251281,0.5,0.5044897167020519,0.5118106485211694
7,0.5009868672551798,0.5,0.5007398563808202,0.505988249339834
9,0.501307393270718,0.5,0.4913757917580705,0.5054207124499361
11,0.5010362694300519,0.5,0.5014761840348638,0.5032493692400887
13,0.49943246311010214,0.5,0.5009868672551798,0.5014720671869578
15,0.500419330365282,0.5,0.500419330365282,0.5083572012491693
17,0.48347379626307835,0.5,0.5019978474766663,0.5093934706792211
19,0.48907917874765483,0.5,0.4884563584715908,0.5101827292349133
21,0.5005181347150259,0.5,0.5037486840789729,0.5077149729758341
23,0.500838660730564,0.5,0.5064311045502932,0.5083813142154758
24,0.48845341786594365,0.5,0.4853040292178577,0.5076414578346556
25,0.5,0.5,0.4922326842436468,0.49875847629577785
26,0.5,0.5,0.4935424299988826,0.5144024983385578
27,0.4916974940158675,0.5,0.49134579758046965,0.5084801185652197
28,0.5005916498562044,0.5,0.5015573447507249,0.5109478748242988
29,0.5015050019702058,0.5,0.4924867525715596,0.5024601106843966
75,0.4993336587603583,0.5,0.508704780836661,0.5104861997376979
200,0.5040992042721119,0.5,0.5001252698005682,0.5022866149512153
