,cross-entropy,hinge-embedding,bce-logit,soft-margin
1,0.7387533875338753,0.2386240520043337,0.5151296829971181,0.5040136919706182
6,0.5957886421849071,0.2386240520043337,0.5393455513215992,0.5097640164713335
8,0.6017950768683906,0.2386240520043337,0.58569452931528,0.5076741809688653
10,0.601243034078855,0.2386240520043337,0.5675905664964747,0.5127921644772906
12,0.5964658491531836,0.2386240520043337,0.5119047619047619,0.5033235944493702
14,0.6010658914728683,0.2386240520043337,0.6014803272302298,0.5075878803091629
16,0.5976581809194266,0.2386240520043337,0.4816257628879366,0.5052213868003341
18,0.5927585832246849,0.2386240520043337,0.6324859638178415,0.5067407980820079
20,0.6054703098930554,0.2386240520043337,0.5513784461152882,0.5115090273974019
22,0.46755559917784806,0.2386240520043337,0.5959568240029272,0.5069624617139836
40,0.6257244896096218,0.2386240520043337,0.2386240520043337,0.4824400116074288
82,0.4864914295308654,0.2386240520043337,0.738882863340564,0.5075878803091629
0,0.7387533875338753,0.2386240520043337,0.47463366144956887,0.5009778012339761
3,0.738882863340564,0.2386240520043337,0.4743444055944056,0.5034240924092409
4,0.5689151489630487,0.2386240520043337,0.5462112728630086,0.5114337168325042
5,0.4886117136659436,0.2386240520043337,0.5555571727992548,0.5133176826356836
7,0.613870792616721,0.2386240520043337,0.524524329382408,0.5066056488613009
9,0.546644844517185,0.2386240520043337,0.48818501759678234,0.5059840313296534
11,0.738882863340564,0.2386240520043337,0.5046522835112692,0.5035870427575496
13,0.23848238482384823,0.2386240520043337,0.613870792616721,0.5016612839209221
15,0.5387289516567083,0.2386240520043337,0.5387289516567083,0.5091653766769866
17,0.4591046687623705,0.2386240520043337,0.5322338830584707,0.51031665650417
19,0.4830334871396592,0.2386240520043337,0.4609476968134212,0.5112831835338769
21,0.7387533875338753,0.2386240520043337,0.5263597565010256,0.5086289006998895
23,0.538834422657952,0.2386240520043337,0.5108518961790608,0.5093372645372646
24,0.4884577623356085,0.2386240520043337,0.4772143680424855,0.5084230875448771
25,0.2386240520043337,0.2386240520043337,0.4791097894686892,0.4986232578766475
26,0.2386240520043337,0.2386240520043337,0.48693727990863234,0.5157616691961028
27,0.48919087368857894,0.2386240520043337,0.48111180425590905,0.5094181135555779
28,0.5137732749178532,0.2386240520043337,0.5015752903102989,0.5120500255694875
29,0.6390005431830528,0.2386240520043337,0.49005317947879434,0.5026922725406222
75,0.43845736013036396,0.2386240520043337,0.5227810732854553,0.5104672515333966
200,0.5165693583355522,0.2386240520043337,0.5008450704225352,0.5025574909224859
