,5,10,25,50,100,250,500,1000,2000
1,2300.4968633651733,2324.7986822128296,2313.047791957855,2326.219734430313,2315.263815164566,2307.8224182128906,2332.687324523926,2311.0688240528107,2337.8046531677246
2,4133.076075077057,4278.331565380096,2282.572796344757,2307.6389338970184,2306.4690492153168,2308.6244328022003,2329.241907119751,2329.365928888321,2441.9129996299744
3,4129.74373459816,4096.935590028763,3423.8122205734253,3437.4054803848267,3418.1956148147583,3453.653643131256,3502.596255540848,3623.382220029831,4229.056010484695
4,4053.041415452957,4038.9218623638153
