,5,10,25,50,100,250,500,1000,2000
1,0.6769121288220522,0.6418683432039664,0.6942117118441714,0.5,0.67612287026636,0.5,0.6029012015314674,0.5,0.5
2,0.6868049143401576,0.5543135744237883,0.5,0.6033975757647045,0.5,0.6521839878141302,0.5,0.5,0.5
3,0.6389559673710398,0.630072985832162,0.5023930648756418,0.5,0.49943246311010214,0.5,0.5,0.5,0.5
4,0.5,0.5246040474496128
