,sigmoid,tanh,relu,softmax
sigmoid,1162.6626467704773,1238.1679883003235,1259.2711715698242,1264.4578952789307
tanh,1196.3768825531006,1229.7292590141296,1206.8178021907806,1221.1158051490784
relu,1178.1101939678192,1178.2818896770477,1200.9915676116943,1192.3761014938354
softmax,1227.3890619277954,1179.7118787765503,1255.7687578201294,1238.3944163322449
