,sigmoid,tanh,relu,softmax
sigmoid,0.58569452931528,0.636672095548317,0.6198825831702544,0.4752400327194122
tanh,0.2613759479956663,0.6246924863199521,0.6257244896096218,0.5712194337194337
relu,0.2613759479956663,0.6090516130879111,0.6149524278215224,0.5680560614733483
softmax,0.2613759479956663,0.5948634472779888,0.6119825708061002,0.2613759479956663
