,counter,binary,tfidf
30000,0.47445045573134115,0.42326946185592507,0.11356842272950347
25000,0.25426500988091066,0.16046298102504247,0.008164638935717946
20000,0.37640701116811875,0.3120644542454284,0.03956064447395336
15000,0.47173549297945777,0.49584317860709104,0.030152817771856393
10000,0.4083482515630634,0.37789956774139566,0.04001493386600789
5000,0.46185960347364724,0.42725778310462126,0.10129662359077014
1000,0.4004562464727249,0.396206324986363,0.15745023687125276
750,0.2534118261718588,0.14720791047833842,0.010238776570168737
500,0.3343068530576373,0.2818068279820108,0.10779110542025001
250,0.37644823153594353,0.15081518121237375,0.004805024549317774
100,0.21686122085078519,0.1870462650409358,0.02336578936438116
50,0.2319706861696756,0.2146708970581536,0.008970984659109426
