,10, 25, 50, 100, 250, 500, 750, 1000, 1500, 2000
1,24.8023,36.7163,50.5101,80.5433,162,1131,327.2703,486.8740,625.5244,946.5788,1250.4505
2,26.0536,36.9147,52.3089,82.9335,166.7499,316.3208,466.5335,626.8905,953.3067,1273.5834
3,27.6862,39.8779,54.6521,85.0277,169.0426,327.8074,486.5835,648.7765,1037.5396,1427.3776
4,30.0191,41.1947,55.8504,86.7339,173.9554,334.2730,508.3549,679.2198,1085.9782,1528.0841
5,34.6664,43.9401,57.6040,90.2776,176.7483,345.7715,519.1032,713.5667,1151.4962,1662.3976
6,37.6848,49.9332,65.5709,96.8535,189.4612,373.1228,568.9022,777.6667,1221.6249,1812.7639
