,counter,binary,tfidf
30000,0.42495574408527864,0.44145829722983165,0.40133664545872116
25000,0.4283573123645887,0.44240794872312594,0.3642869389990014
20000,0.4233416345867334,0.44570910367819244,0.42713586947069365
15000,0.42472570191819364,0.4370812540101432,0.4301744979623254
10000,0.4122999240255501,0.43629496044880833,0.4245022072358431
5000,0.4054367312738688,0.4336048609311929,0.41687201647030114
1000,0.3469019077958058,0.36596685167367926,0.34139488387693195
750,0.3273046900919946,0.3469370162494917,0.32473529018839004
500,0.3101961106375005,0.3229877681329586,0.3056462361010838
250,0.2819515486948469,0.2953183804647661,0.2704446318661998
100,0.18920141397596085,0.21976341149679804,0.1972365431066176
50,0.18113254648915747,0.17043711813611345,0.16415318439608276
