,counter,binary,tfidf
30000,220.2447121143341,230.49917817115784,221.36245489120483
25000,182.73776149749756,181.71027159690857,182.2879238128662
20000,150.4051914215088,146.6239287853241,141.94166231155396
15000,108.73716306686401,109.50431537628174,106.63655400276184
10000,75.23787331581116,75.52193999290466,77.31469988822937
5000,40.684494972229004,39.93127679824829,41.18108868598938
1000,26.600159168243408,26.604161262512207,27.259010076522827
750,26.505191802978516,25.612093210220337,25.77865743637085
500,24.813615083694458,26.230224132537842,24.662543773651123
250,23.69125485420227,23.988181829452515,23.50960898399353
100,23.070088386535645,22.918747186660767,22.757017374038696
50,22.303451538085938,22.216633796691895,22.889665842056274
