,sigmoid,tanh,relu,softmax
sigmoid,0.1537264291159724,0.2938854958605051,0.39168945295112134,0.1786987310064831
tanh,0.2897612216428884,0.32156335878363834,0.4086599151818332,0.2981402996457492
relu,0.2349144331913302,0.3172127402670163,0.38278608603347136,0.2871653496402363
softmax,0.06924254532993639,0.16242816960735512,0.24138165074252735,0.08006583530743902
