,counter,binary,tfidf
30000,0.423936842493917,0.43926478969173155,0.4099845457192677
25000,0.4291099838930066,0.43958142963842184,0.3817914717094538
20000,0.4237938281311708,0.44099026047677414,0.4217190368629205
15000,0.4271178294441498,0.43781625601763086,0.4265967320351935
10000,0.4147722828364949,0.4326225208934488,0.41848741092164143
5000,0.4086599151818332,0.4294636307420022,0.41226421815976233
1000,0.3455107071826489,0.3669656118563031,0.3340835141965199
750,0.32591996376752724,0.34800844557678395,0.31367869249830205
500,0.3133942258366177,0.3199169470385674,0.29358413213372875
250,0.2864701131636176,0.2994580181919736,0.265460047194502
100,0.19709208630976008,0.22904611897737168,0.19924041557147515
50,0.1921559553579689,0.18775612778671674,0.17556459834832744
