,sigmoid,tanh,relu,softmax
sigmoid,41.180890798568726,41.75089740753174,40.67596936225891,41.96880912780762
tanh,42.15264081954956,41.65970540046692,40.71971535682678,42.32617497444153
relu,41.538811922073364,41.59733462333679,40.780136585235596,42.3547146320343
softmax,41.203601121902466,40.95642590522766,41.54499578475952,40.56137037277222
