,0.0,0.2,0.22,0.25,0.27,0.3
32,4.66328548130876e-310,0.0,0.0,0.0,0.0,1.0
35,0.0,0.0,4.663286346245e-310,4.66328634624973e-310,4.66328634625447e-310,1.0
37,3.8938813743510143e-308,4.66328634624696e-310,4.66328634624735e-310,4.66328634624894e-310,2.47e-322,1.0
40,6.9379101564949e-310,6.93791015649804e-310,6.9379101565012e-310,,6.93786523856096e-310,1.0
42,6.93791015651385e-310,6.937910156517e-310,6.9379101565202e-310,6.93791015652334e-310,6.9379101565265e-310,1.0
48,6.93791015653283e-310,6.937910156536e-310,6.93791015653915e-310,6.9379101565423e-310,6.93791015654547e-310,1.0
