,0.0,0.2,0.22,0.25,0.27,0.3
32,4.6632862557112e-310,0.0,0.0,0.0,0.0,1.0
35,2.1219957915e-314,1.19e-321,6.9380114084388e-310,4.66328632959655e-310,2.1219957915e-314,1.0
37,2.1219957915e-314,2.1219957915e-314,2.1219957915e-314,6.3659873734e-314,2.121995792e-314,1.0
40,2.1219957915e-314,2.1219957915e-314,2.1219957915e-314,2.1219957915e-314,2.1219957915e-314,1.0
42,1.17e-320,4.8e-322,4.66328625263614e-310,4.6632862557207e-310,0.0,1.0
48,6.93794585995827e-310,0.0,4.66329794698737e-310,1.976e-321,5e-324,1.0
