,0.9,0.7,0.5,0.3,0.1,0.0
10.0,698.9772412776947,700.2260937690735,698.8814091682434,697.2495160102844,697.8935678005219,689.5889253616333
1.0,698.1474103927612,694.2485485076904,695.3384408950806,697.2137312889099,697.0969367027283,696.7715981006622
0.9,695.3218557834625,695.5042178630829,698.2734253406525,698.0534887313843,691.7606256008148,685.5329930782318
0.1,658.1364920139313,687.4026849269867,670.966890335083,658.9382832050323,663.8154485225677,660.0853726863861
0.01,662.4895839691162,664.9496133327484,665.127034664154,668.0819492340088,668.0415382385254,662.3771593570709
0.001,665.9393165111542,667.913290977478,663.0454478263855,664.3961515426636,665.7306671142578,661.8329792022705
0.0001,660.6609125137329,644.4618299007416,641.8643457889557,643.2249219417572,641.9453537464142,638.80424284935
