,rnn,lstm,gru
1,0.3432942013518321,0.3432942013518321,0.3738693921852388
6,0.7171398765994529,0.7330712237093691,0.7387386419009947
8,0.7506955135996543,0.6924384942389443,0.7583962494483103
10,0.6983547907511114,0.7760121419130153,0.7815823971274518
12,0.7348350696079724,0.7693283605128258,0.7803973426677362
14,0.5256947852005711,0.7372157651401972,0.7727867535597217
16,0.617390123354729,0.7670628283006133,0.7925238290733329
18,0.7359687063405844,0.7479270524124342,0.7717285027276926
20,0.7227028029679695,0.72743185561554,0.7751341038341588
22,0.5925023720542958,0.505644932997965,0.7952175520769136
40,0.4211826599326599,0.7263038501297092,0.7497402580980217
82,0.684320451859668,0.6901740438571269,0.7920625196498857
0,0.49604149604149606,0.6446425640820925,0.5706921123548921
3,0.5061530230069555,0.6900229566524387,0.6641648236064043
4,0.5402780089382031,0.70839212986864,0.7073299824336984
5,0.3432942013518321,0.3432942013518321,0.35792581980261057
7,0.3432942013518321,0.3432942013518321,0.3432942013518321
9,0.3432942013518321,0.3432942013518321,0.35792581980261057
11,0.3432942013518321,0.3432942013518321,0.35792581980261057
13,0.3432942013518321,0.3432942013518321,0.3432942013518321
15,0.3432942013518321,0.3432942013518321,0.35792581980261057
17,0.3432942013518321,0.3432942013518321,0.35792581980261057
19,0.3432942013518321,0.3432942013518321,0.3432942013518321
21,0.3432942013518321,0.3432942013518321,0.35792581980261057
23,0.3432942013518321,0.3432942013518321,0.35792581980261057
24,0.3432942013518321,0.3432942013518321,0.35792581980261057
25,0.3432942013518321,0.3432942013518321,0.3432942013518321
26,0.3432942013518321,0.3432942013518321,0.35792581980261057
27,0.3432942013518321,0.3432942013518321,0.3432942013518321
28,0.3432942013518321,0.3432942013518321,0.35792581980261057
29,0.4865299087558841,0.7115874220149063,0.7211139169010835
75,0.3432942013518321,0.3432942013518321,0.35792581980261057
200,0.6253046527281204,0.3432942013518321,0.7380856491987187
