,0.9,0.7,0.5,0.3,0.1,0.0
10.0,641.4682366847992,543.2823815345764,532.7948033809662,538.7577097415924,543.1814103126526,533.6079878807068
1.0,543.7826719284058,530.4364957809448,543.0001220703125,532.9495992660522,532.1588768959045,526.8378653526306
0.9,537.149290561676,524.8122873306274,520.4048209190369,512.6630873680115,506.35678577423096,517.6647710800171
0.1,512.6707270145416,524.6899456977844,515.0567009449005,531.1923775672913,505.15345883369446,527.161872625351
0.01,516.0645439624786,527.9387586116791,519.5868141651154,524.7252871990204,509.96438932418823,443.2446291446686
0.001,438.52949833869934,447.70891976356506,444.4020082950592,441.7162699699402,449.3424746990204,440.2743196487427
0.0001,443.99866795539856,436.8063442707062,429.6998119354248,431.92702627182007,414.60933446884155,423.068541765213
