,5,10,25,50,100,250,500
1,172.9101276397705,207.1945824623108,238.90278005599976,297.87546157836914,360.52881693840027,529.0120978355408,925.5575444698334
2,331.01367378234863,382.79825949668884,461.31451058387756,597.257652759552,712.9646635055542,1102.0546112060547,2041.3266232013702
3,478.14767122268677,577.3794586658478,678.2036306858063,841.379369020462,1055.3851754665375,1640.207322359085,3180.2822391986847
4,661.4050631523132,957.4273898601532,1117.8132631778717,1302.6319415569305,1618.12162733078,2538.9144563674927,5195.601629495621
