,rnn,lstm,gru
1,0.2613759479956663,0.2613759479956663,0.5717124170638535
6,0.7253498194634664,0.7447381443960543,0.7763969437540275
8,0.7508630454558793,0.7112575054990786,0.7598705912652632
10,0.7058055081647575,0.7758981923409373,0.7817151214656638
12,0.7351593544485688,0.7777366156787763,0.7863412687857427
14,0.5675312381673608,0.744258546096539,0.7733351581515693
16,0.618653040610796,0.7688656210248608,0.7940106395988749
18,0.741082021202889,0.7646419437340153,0.7885818293683347
20,0.722642658315936,0.7308922089461942,0.778588195841717
22,0.7485338593030901,0.5444959636215001,0.7961087949176097
40,0.4960694670135527,0.7272726197348374,0.7582914572864321
82,0.6845652296899751,0.7329091762503603,0.7921094617745064
0,0.5430008210180624,0.6600934971383461,0.6448048247779088
3,0.5272052452973659,0.6902967860987237,0.7105307153604666
4,0.5630759413776123,0.7084804738631334,0.7263883671923246
5,0.2613759479956663,0.2613759479956663,0.6045573704375882
7,0.2613759479956663,0.2613759479956663,0.2613759479956663
9,0.2613759479956663,0.2613759479956663,0.6045573704375882
11,0.2613759479956663,0.2613759479956663,0.6045573704375882
13,0.2613759479956663,0.2613759479956663,0.2613759479956663
15,0.2613759479956663,0.2613759479956663,0.6045573704375882
17,0.2613759479956663,0.2613759479956663,0.6045573704375882
19,0.2613759479956663,0.2613759479956663,0.2613759479956663
21,0.2613759479956663,0.2613759479956663,0.6045573704375882
23,0.2613759479956663,0.2613759479956663,0.6045573704375882
24,0.2613759479956663,0.2613759479956663,0.6045573704375882
25,0.2613759479956663,0.2613759479956663,0.2613759479956663
26,0.2613759479956663,0.2613759479956663,0.6045573704375882
27,0.2613759479956663,0.2613759479956663,0.2613759479956663
28,0.2613759479956663,0.2613759479956663,0.6045573704375882
29,0.5564707252803753,0.714874535466053,0.7336267605633803
75,0.2613759479956663,0.2613759479956663,0.6045573704375882
200,0.6589760701687483,0.2613759479956663,0.738014888920201
