,rnn,lstm,gru
1,102.29806900024414,246.18061709403992,231.03254652023315
6,103.83267760276794,243.54312300682068,228.53330826759338
8,104.10332083702087,248.17882680892944,231.9053258895874
10,106.12322044372559,248.28021836280823,233.24790358543396
12,106.06532979011536,247.11635446548462,228.3658812046051
14,104.03669595718384,242.3265221118927,229.4860577583313
16,106.4275541305542,244.7813684940338,228.56144857406616
18,104.15681433677673,243.18849229812622,228.53092217445374
20,104.07184839248657,242.24273467063904,227.8967399597168
22,104.14001226425171,243.72119545936584,231.63333106040955
40,99.42943692207336,231.327214717865,220.52996635437012
82,105.10002255439758,247.62478613853455,233.3472146987915
0,106.10060143470764,248.0260603427887,232.24898743629456
3,104.40929174423218,243.76742243766785,229.183287858963
4,104.14333486557007,244.13098621368408,233.4668242931366
5,103.43726396560669,245.35714769363403,231.934339761734
7,103.43900966644287,242.24749183654785,229.2569329738617
9,104.93507242202759,249.16992592811584,232.40169668197632
11,105.22576308250427,247.63136625289917,231.33951091766357
13,104.54088878631592,247.65302801132202,231.5158085823059
15,104.39671754837036,246.6745421886444,231.20250964164734
17,104.97073173522949,246.1105489730835,230.01748251914978
19,103.56754851341248,244.00153374671936,230.59207773208618
21,104.24842572212219,244.79752588272095,228.71012997627258
23,103.61168885231018,242.77904963493347,227.14321303367615
24,102.80527567863464,242.2249789237976,227.0154857635498
25,102.77786183357239,242.38859152793884,227.05616855621338
26,103.01260924339294,242.70695734024048,226.94509935379028
27,102.64593529701233,242.0206847190857,227.9708869457245
28,102.89260959625244,242.56688904762268,226.83153176307678
29,103.67099404335022,242.84122967720032,226.67453336715698
75,105.1043426990509,248.0878086090088,231.30902123451233
200,104.45807099342346,242.64667892456055,227.7835876941681
