,rnn,lstm,gru
1,0.5227518959913326,0.5227518959913326,0.5287107258938245
6,0.7177681473456121,0.7378114842903575,0.7432286023835319
8,0.7508125677139762,0.6950162513542795,0.7583965330444203
10,0.7026002166847237,0.776273022751896,0.7816901408450704
12,0.7356446370530878,0.7697724810400867,0.7806067172264355
14,0.5617551462621885,0.7405200433369448,0.7735644637053087
16,0.6197183098591549,0.7670639219934995,0.7925243770314193
18,0.7361863488624052,0.7535211267605634,0.7730227518959913
20,0.7231852654387866,0.7275189599133262,0.7751895991332611
22,0.6294691224268689,0.5444203683640303,0.7952329360780065
40,0.5157096424702059,0.7275189599133262,0.7502708559046587
82,0.6852654387865655,0.7053087757313109,0.7925243770314193
0,0.5422535211267606,0.6473456121343445,0.6110509209100758
3,0.5319609967497292,0.6901408450704225,0.6825568797399784
4,0.562296858071506,0.7091007583965331,0.7150595882990249
5,0.5227518959913326,0.5227518959913326,0.5265438786565547
7,0.5227518959913326,0.5227518959913326,0.5227518959913326
9,0.5227518959913326,0.5227518959913326,0.5265438786565547
11,0.5227518959913326,0.5227518959913326,0.5265438786565547
13,0.5227518959913326,0.5227518959913326,0.5227518959913326
15,0.5227518959913326,0.5227518959913326,0.5265438786565547
17,0.5227518959913326,0.5227518959913326,0.5265438786565547
19,0.5227518959913326,0.5227518959913326,0.5227518959913326
21,0.5227518959913326,0.5227518959913326,0.5265438786565547
23,0.5227518959913326,0.5227518959913326,0.5265438786565547
24,0.5227518959913326,0.5227518959913326,0.5265438786565547
25,0.5227518959913326,0.5227518959913326,0.5227518959913326
26,0.5227518959913326,0.5227518959913326,0.5265438786565547
27,0.5227518959913326,0.5227518959913326,0.5227518959913326
28,0.5227518959913326,0.5227518959913326,0.5265438786565547
29,0.547670639219935,0.71397616468039,0.7264355362946913
75,0.5227518959913326,0.5227518959913326,0.5265438786565547
200,0.633261105092091,0.5227518959913326,0.738353196099675
